grouped_linked_trip_mode,grouped_tour_mode,trips,purpose
TNC-REG,WALK-TRANSIT,2434.0,University
TNC-SHARED,WALK-TRANSIT,1562.0,University
SCHOOLBUS,WALK-TRANSIT,0.0,University
All,WALK-TRANSIT,116058.0,University
DRIVEALONE,PNR-TRANSIT,0.0,University
SHARED2,PNR-TRANSIT,0.0,University
SHARED3,PNR-TRANSIT,0.0,University
WALK,PNR-TRANSIT,0.0,University
BIKE,PNR-TRANSIT,0.0,University
WALK-TRANSIT,PNR-TRANSIT,0.0,University
PNR-TRANSIT,PNR-TRANSIT,6033.0,University
KNR-TRANSIT,PNR-TRANSIT,0.0,University
TNC-TRANSIT,PNR-TRANSIT,0.0,University
TAXI,PNR-TRANSIT,0.0,University
TNC-REG,PNR-TRANSIT,0.0,University
TNC-SHARED,PNR-TRANSIT,60.0,University
SCHOOLBUS,PNR-TRANSIT,0.0,University
All,PNR-TRANSIT,6093.0,University
DRIVEALONE,KNR-TRANSIT,0.0,University
SHARED2,KNR-TRANSIT,0.0,University
SHARED3,KNR-TRANSIT,0.0,University
WALK,KNR-TRANSIT,0.0,University
BIKE,KNR-TRANSIT,0.0,University
WALK-TRANSIT,KNR-TRANSIT,0.0,University
PNR-TRANSIT,KNR-TRANSIT,0.0,University
KNR-TRANSIT,KNR-TRANSIT,6549.0,University
TNC-TRANSIT,KNR-TRANSIT,0.0,University
TAXI,KNR-TRANSIT,0.0,University
TNC-REG,KNR-TRANSIT,59.0,University
TNC-SHARED,KNR-TRANSIT,448.0,University
SCHOOLBUS,KNR-TRANSIT,0.0,University
All,KNR-TRANSIT,7055.0,University
DRIVEALONE,TNC-TRANSIT,0.0,University
SHARED2,TNC-TRANSIT,0.0,University
SHARED3,TNC-TRANSIT,0.0,University
WALK,TNC-TRANSIT,0.0,University
BIKE,TNC-TRANSIT,0.0,University
WALK-TRANSIT,TNC-TRANSIT,0.0,University
PNR-TRANSIT,TNC-TRANSIT,0.0,University
KNR-TRANSIT,TNC-TRANSIT,0.0,University
TNC-TRANSIT,TNC-TRANSIT,904.0,University
TAXI,TNC-TRANSIT,0.0,University
TNC-REG,TNC-TRANSIT,0.0,University
TNC-SHARED,TNC-TRANSIT,0.0,University
SCHOOLBUS,TNC-TRANSIT,0.0,University
All,TNC-TRANSIT,904.0,University
DRIVEALONE,TAXI,0.0,University
SHARED2,TAXI,0.0,University
SHARED3,TAXI,0.0,University
WALK,TAXI,76.0,University
BIKE,TAXI,0.0,University
WALK-TRANSIT,TAXI,0.0,University
PNR-TRANSIT,TAXI,0.0,University
KNR-TRANSIT,TAXI,0.0,University
TNC-TRANSIT,TAXI,0.0,University
TAXI,TAXI,1110.0,University
TNC-REG,TAXI,0.0,University
TNC-SHARED,TAXI,0.0,University
SCHOOLBUS,TAXI,0.0,University
All,TAXI,1186.0,University
DRIVEALONE,TNC-REG,0.0,University
SHARED2,TNC-REG,0.0,University
SHARED3,TNC-REG,0.0,University
WALK,TNC-REG,803.0,University
BIKE,TNC-REG,0.0,University
WALK-TRANSIT,TNC-REG,0.0,University
PNR-TRANSIT,TNC-REG,0.0,University
KNR-TRANSIT,TNC-REG,0.0,University
TNC-TRANSIT,TNC-REG,0.0,University
TAXI,TNC-REG,0.0,University
TNC-REG,TNC-REG,2334.0,University
TNC-SHARED,TNC-REG,0.0,University
SCHOOLBUS,TNC-REG,0.0,University
All,TNC-REG,3137.0,University
DRIVEALONE,TNC-SHARED,0.0,University
SHARED2,TNC-SHARED,0.0,University
SHARED3,TNC-SHARED,0.0,University
WALK,TNC-SHARED,0.0,University
BIKE,TNC-SHARED,0.0,University
WALK-TRANSIT,TNC-SHARED,0.0,University
PNR-TRANSIT,TNC-SHARED,0.0,University
KNR-TRANSIT,TNC-SHARED,0.0,University
TNC-TRANSIT,TNC-SHARED,0.0,University
TAXI,TNC-SHARED,0.0,University
TNC-REG,TNC-SHARED,0.0,University
TNC-SHARED,TNC-SHARED,1569.0,University
SCHOOLBUS,TNC-SHARED,0.0,University
All,TNC-SHARED,1569.0,University
DRIVEALONE,SCHOOLBUS,0.0,University
SHARED2,SCHOOLBUS,0.0,University
SHARED3,SCHOOLBUS,0.0,University
WALK,SCHOOLBUS,0.0,University
BIKE,SCHOOLBUS,0.0,University
WALK-TRANSIT,SCHOOLBUS,0.0,University
PNR-TRANSIT,SCHOOLBUS,0.0,University
KNR-TRANSIT,SCHOOLBUS,0.0,University
TNC-TRANSIT,SCHOOLBUS,0.0,University
TAXI,SCHOOLBUS,0.0,University
TNC-REG,SCHOOLBUS,0.0,University
TNC-SHARED,SCHOOLBUS,0.0,University
SCHOOLBUS,SCHOOLBUS,0.0,University
All,SCHOOLBUS,0.0,University
DRIVEALONE,All,290459.0,University
SHARED2,All,83475.0,University
SHARED3,All,20053.0,University
WALK,All,108677.0,University
BIKE,All,6439.0,University
WALK-TRANSIT,All,84211.0,University
PNR-TRANSIT,All,6033.0,University
KNR-TRANSIT,All,6549.0,University
TNC-TRANSIT,All,904.0,University
TAXI,All,1218.0,University
TNC-REG,All,4826.0,University
TNC-SHARED,All,3638.0,University
SCHOOLBUS,All,0.0,University
All,All,616482.0,University
DRIVEALONE,DRIVEALONE,109499.0,School
SHARED2,DRIVEALONE,0.0,School
SHARED3,DRIVEALONE,0.0,School
WALK,DRIVEALONE,1387.0,School
BIKE,DRIVEALONE,0.0,School
WALK-TRANSIT,DRIVEALONE,0.0,School
PNR-TRANSIT,DRIVEALONE,0.0,School
KNR-TRANSIT,DRIVEALONE,0.0,School
TNC-TRANSIT,DRIVEALONE,0.0,School
TAXI,DRIVEALONE,0.0,School
TNC-REG,DRIVEALONE,0.0,School
TNC-SHARED,DRIVEALONE,0.0,School
SCHOOLBUS,DRIVEALONE,0.0,School
All,DRIVEALONE,110886.0,School
DRIVEALONE,SHARED2,34740.0,School
SHARED2,SHARED2,374795.0,School
SHARED3,SHARED2,0.0,School
WALK,SHARED2,36510.0,School
BIKE,SHARED2,0.0,School
WALK-TRANSIT,SHARED2,0.0,School
PNR-TRANSIT,SHARED2,0.0,School
KNR-TRANSIT,SHARED2,0.0,School
TNC-TRANSIT,SHARED2,0.0,School
TAXI,SHARED2,0.0,School
TNC-REG,SHARED2,0.0,School
TNC-SHARED,SHARED2,0.0,School
SCHOOLBUS,SHARED2,0.0,School
All,SHARED2,446045.0,School
DRIVEALONE,SHARED3,9274.0,School
SHARED2,SHARED3,155999.0,School
SHARED3,SHARED3,761487.0,School
WALK,SHARED3,53023.0,School
BIKE,SHARED3,0.0,School
WALK-TRANSIT,SHARED3,0.0,School
PNR-TRANSIT,SHARED3,0.0,School
