grouped_tour_mode,auto_suff,tours,purpose
BIKE,1,201.0,Joint-Maintenance
WALK-TRANSIT,1,1205.0,Joint-Maintenance
PNR-TRANSIT,1,6.0,Joint-Maintenance
KNR-TRANSIT,1,95.0,Joint-Maintenance
TNC-TRANSIT,1,16.0,Joint-Maintenance
TAXI,1,0.0,Joint-Maintenance
TNC-REG,1,0.0,Joint-Maintenance
TNC-SHARED,1,0.0,Joint-Maintenance
SCHOOLBUS,1,0.0,Joint-Maintenance
All,1,34248.0,Joint-Maintenance
DRIVEALONE,2,0.0,Joint-Maintenance
SHARED2,2,227304.0,Joint-Maintenance
SHARED3,2,87703.0,Joint-Maintenance
WALK,2,8034.0,Joint-Maintenance
BIKE,2,947.0,Joint-Maintenance
WALK-TRANSIT,2,1769.0,Joint-Maintenance
PNR-TRANSIT,2,91.0,Joint-Maintenance
KNR-TRANSIT,2,225.0,Joint-Maintenance
TNC-TRANSIT,2,21.0,Joint-Maintenance
TAXI,2,386.0,Joint-Maintenance
TNC-REG,2,0.0,Joint-Maintenance
TNC-SHARED,2,269.0,Joint-Maintenance
SCHOOLBUS,2,0.0,Joint-Maintenance
All,2,326749.0,Joint-Maintenance
DRIVEALONE,All,0.0,Joint-Maintenance
SHARED2,All,253136.0,Joint-Maintenance
SHARED3,All,91197.0,Joint-Maintenance
WALK,All,16185.0,Joint-Maintenance
BIKE,All,1235.0,Joint-Maintenance
WALK-TRANSIT,All,4829.0,Joint-Maintenance
PNR-TRANSIT,All,98.0,Joint-Maintenance
KNR-TRANSIT,All,359.0,Joint-Maintenance
TNC-TRANSIT,All,62.0,Joint-Maintenance
TAXI,All,386.0,Joint-Maintenance
TNC-REG,All,0.0,Joint-Maintenance
TNC-SHARED,All,269.0,Joint-Maintenance
SCHOOLBUS,All,0.0,Joint-Maintenance
All,All,367756.0,Joint-Maintenance
DRIVEALONE,0,0.0,Joint-Discretionary
SHARED2,0,0.0,Joint-Discretionary
SHARED3,0,1313.0,Joint-Discretionary
WALK,0,3118.0,Joint-Discretionary
BIKE,0,166.0,Joint-Discretionary
WALK-TRANSIT,0,1494.0,Joint-Discretionary
PNR-TRANSIT,0,0.0,Joint-Discretionary
KNR-TRANSIT,0,111.0,Joint-Discretionary
TNC-TRANSIT,0,25.0,Joint-Discretionary
TAXI,0,0.0,Joint-Discretionary
TNC-REG,0,263.0,Joint-Discretionary
TNC-SHARED,0,1272.0,Joint-Discretionary
SCHOOLBUS,0,0.0,Joint-Discretionary
All,0,7762.0,Joint-Discretionary
DRIVEALONE,1,0.0,Joint-Discretionary
SHARED2,1,21855.0,Joint-Discretionary
SHARED3,1,4665.0,Joint-Discretionary
WALK,1,4871.0,Joint-Discretionary
BIKE,1,0.0,Joint-Discretionary
WALK-TRANSIT,1,1656.0,Joint-Discretionary
PNR-TRANSIT,1,6.0,Joint-Discretionary
KNR-TRANSIT,1,124.0,Joint-Discretionary
TNC-TRANSIT,1,32.0,Joint-Discretionary
TAXI,1,86.0,Joint-Discretionary
TNC-REG,1,1026.0,Joint-Discretionary
TNC-SHARED,1,73.0,Joint-Discretionary
SCHOOLBUS,1,0.0,Joint-Discretionary
All,1,34394.0,Joint-Discretionary
DRIVEALONE,2,0.0,Joint-Discretionary
SHARED2,2,206324.0,Joint-Discretionary
SHARED3,2,99943.0,Joint-Discretionary
WALK,2,16494.0,Joint-Discretionary
BIKE,2,1501.0,Joint-Discretionary
WALK-TRANSIT,2,1708.0,Joint-Discretionary
PNR-TRANSIT,2,171.0,Joint-Discretionary
KNR-TRANSIT,2,198.0,Joint-Discretionary
TNC-TRANSIT,2,72.0,Joint-Discretionary
TAXI,2,918.0,Joint-Discretionary
TNC-REG,2,829.0,Joint-Discretionary
TNC-SHARED,2,1249.0,Joint-Discretionary
SCHOOLBUS,2,0.0,Joint-Discretionary
All,2,329407.0,Joint-Discretionary
DRIVEALONE,All,0.0,Joint-Discretionary
SHARED2,All,228180.0,Joint-Discretionary
SHARED3,All,105921.0,Joint-Discretionary
WALK,All,24483.0,Joint-Discretionary
BIKE,All,1667.0,Joint-Discretionary
WALK-TRANSIT,All,4858.0,Joint-Discretionary
PNR-TRANSIT,All,177.0,Joint-Discretionary
KNR-TRANSIT,All,433.0,Joint-Discretionary
TNC-TRANSIT,All,129.0,Joint-Discretionary
TAXI,All,1004.0,Joint-Discretionary
TNC-REG,All,2119.0,Joint-Discretionary
TNC-SHARED,All,2594.0,Joint-Discretionary
SCHOOLBUS,All,0.0,Joint-Discretionary
All,All,371565.0,Joint-Discretionary
