coefficient_name,value,constrain
tnc_transit_ASC_auto_sufficient_social,-999,T
tnc_transit_ASC_no_auto_social,-999,T
tnc_transit_CBD_ASC_social,0,T
walk_ASC_auto_deficient_social,5.55383798,F
walk_ASC_auto_sufficient_social,4.455372828,F
walk_ASC_no_auto_social,8.003919345,F
walk_transit_ASC_auto_deficient_social,0.737455723,F
walk_transit_ASC_auto_sufficient_social,0.179508767,F
walk_transit_ASC_no_auto_social,5.15843066,F
walk_transit_CBD_ASC_social,0,T
CTArail_ASC_univ,0,T
Express_bus_ASC_univ,0,T
Metrarail_ASC_univ,0,T
bike_ASC_auto_deficient_univ,-1.393553121,F
bike_ASC_auto_sufficient_univ,-2.159425559,F
bike_ASC_no_auto_univ,2.319301442,F
coef_age010_trn_univ,-1.5548,T
coef_age1619_da_univ,-1.3813,T
coef_age16p_sr_univ,0,T
coef_biketime_univ,-0.0896,T
coef_density_index_univ,0,T
coef_dtim_univ,-0.0448,T
coef_hhsize1_sr_univ,0,T
coef_hhsize2_sr_univ,0,T
coef_inc_adj_cost_univ,-0.262,T
coef_ivt_univ,-0.0224,T
coef_iwait_univ,-0.0448,T
coef_walktime_univ,-0.0448,T
coef_xwait_univ,-0.0448,T
wlktrn_metra_distpen_univ,-6.048,T
drvtrn_distpen_univ,-6.048,T
knr_transit_ASC_auto_deficient_univ,11.0138646,F
knr_transit_ASC_auto_sufficient_univ,6.783550899,F
knr_transit_ASC_no_auto_univ,8.900492479,F
knr_transit_CBD_ASC_univ,0.672,T
pnr_transit_ASC_auto_deficient_univ,10.47922819,F
pnr_transit_ASC_auto_sufficient_univ,7.105731287,F
pnr_transit_ASC_no_auto_univ,5.116175116,F
pnr_transit_CBD_ASC_univ,0.672,T
sr2_ASC_auto_deficient_univ,-0.63538967,F
sr2_ASC_auto_sufficient_univ,-1.142054121,F
sr2_ASC_no_auto_univ,-0.758768023,F
sr3p_ASC_auto_deficient_univ,-1.756488362,F
sr3p_ASC_auto_sufficient_univ,-1.925446789,F
sr3p_ASC_no_auto_univ,0.302454546,F
taxi_ASC_auto_deficient_univ,-7.592347114,F
taxi_ASC_auto_sufficient_univ,-2.462796122,F
taxi_ASC_no_auto_univ,3.182389923,F
tnc_shared_ASC_auto_deficient_univ,-6.591547114,F
tnc_shared_ASC_auto_sufficient_univ,-2.478001299,F
tnc_shared_ASC_no_auto_univ,-4.8116,F
tnc_single_ASC_auto_deficient_univ,-1.037615588,F
tnc_single_ASC_auto_sufficient_univ,-3.214949326,F
tnc_single_ASC_no_auto_univ,3.858419927,F
tnc_transit_ASC_auto_deficient_univ,10.19028972,F
tnc_transit_ASC_auto_sufficient_univ,6.732146106,F
tnc_transit_ASC_no_auto_univ,11.21341203,F
tnc_transit_CBD_ASC_univ,0.672,T
walk_ASC_auto_deficient_univ,1.749981847,F
walk_ASC_auto_sufficient_univ,1.224565206,F
walk_ASC_no_auto_univ,4.124272738,F
walk_transit_ASC_auto_deficient_univ,9.234239411,F
